name,phone,social,2gis_url
Сервисная служба №1,+78619913900,,https://2gis.ru/krasnodar/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/21/firm/70000001102729364/38.923916%2C45.113344
Грани,+79181040532,WhatsApp,https://2gis.ru/krasnodar/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/21/firm/70000001041713954
Privozzz,+79183317099,WhatsApp,https://2gis.ru/krasnodar/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/21/firm/70000001033095715/39.283551%2C45.048301
Строительно-ремонтная фирма,+79530806769,WhatsApp,https://2gis.ru/krasnodar/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/21/firm/70000001034482452/39.065111%2C45.035757?m=39.283551%2C45.048301%2F10.62
Комфорт сервис,+79952262199,"WhatsApp, Telegram",https://2gis.ru/krasnodar/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/21/firm/70000001032722654?m=38.948017%2C45.052692%2F10.62
Триумф-Юг,+79892300243,WhatsApp,https://2gis.ru/gelendzhik/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/21/firm/70000001032271364/38.111138%2C44.554717?m=38.111138%2C44.554717%2F10.62
3D.Buro,+79953406719,"WhatsApp, Telegram",https://2gis.ru/krasnodar/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/22/firm/70000001097368302/38.995847%2C45.063615?m=38.111138%2C44.554717%2F10.62
ПрофАртСтрой,+79261231163,WhatsApp,https://2gis.ru/krasnodar/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/22/firm/70000001068428743/39.12577%2C45.058624?m=38.995847%2C45.063615%2F10.62
Мечта,+79385197491,WhatsApp,https://2gis.ru/krasnodar/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/22/firm/70000001057146367?m=38.995847%2C45.063615%2F10.62
Happy.design,+79094483697,WhatsApp,https://2gis.ru/krasnodar/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/22/firm/70000001051326548?m=38.995847%2C45.063615%2F10.62
Ремонтная компания,+79181585844,WhatsApp,https://2gis.ru/krasnodar/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/22/firm/70000001031857011/38.903324%2C45.074499?m=38.903324%2C45.074499%2F10.62
Служба бытовых услуг,+79892354525,WhatsApp,https://2gis.ru/krasnodar/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/22/firm/70000001029190214?m=37.337186%2C44.89069%2F10.62
Феникс,+79284254955,WhatsApp,https://2gis.ru/krasnodar/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/22/firm/70000001044761220?m=37.337186%2C44.89069%2F10.62
Феникс,+79888880327,WhatsApp,https://2gis.ru/krasnodar/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/22/firm/70000001044761220?m=37.337186%2C44.89069%2F10.62
Этажи плюс,+79615303223,"YouTube, WhatsApp, Telegram",https://2gis.ru/gelendzhik/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/23/firm/70000001036565708/38.071255%2C44.548266?m=37.337186%2C44.89069%2F10.62
Аквариус,+78619451234,"YouTube, WhatsApp",https://2gis.ru/krasnodar/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/23/firm/70000001029878692/38.963833%2C45.050183?m=37.775319%2C44.714154%2F10.62
Эталон Сервис,+79531008388,"Telegram, WhatsApp",https://2gis.ru/krasnodar/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/23/firm/70000001045752763/38.967017%2C45.040824?m=38.963833%2C45.050183%2F10.62
СтройСитиГруп,+79951984072,"YouTube, WhatsApp",https://2gis.ru/krasnodar/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/23/firm/70000001040781663?m=38.963833%2C45.050183%2F10.62
Компания по ремонту и отделке квартир и домов,+79282829354,WhatsApp,https://2gis.ru/krasnodar/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/24/firm/70000001064274303?m=38.963833%2C45.050183%2F10.62
Аура,+79528462301,,https://2gis.ru/krasnodar/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/24/firm/70000001106078163/38.994145%2C45.044882?m=38.963833%2C45.050183%2F10.62
Торгово-монтажная компания,+79180677730,WhatsApp,https://2gis.ru/krasnodar/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/24/firm/70000001030078178?m=38.963833%2C45.050183%2F10.62
Ордастройкубань,+79298358569,"WhatsApp, Telegram",https://2gis.ru/krasnodar/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/24/firm/70000001105613411?m=38.963833%2C45.050183%2F10.62
Lieben-haus,+79181416575,WhatsApp,https://2gis.ru/novorossiysk/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/24/firm/70000001033455280/37.768467%2C44.709999?m=38.963833%2C45.050183%2F10.62
Brosco,+79384133888,"WhatsApp, Telegram",https://2gis.ru/anapa/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/24/firm/70000001051281273/37.327999%2C44.889667?m=38.977723%2C45.074028%2F10.62
Многопрофильная компания,+79282611403,,https://2gis.ru/krasnodar/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/24/firm/70000001031570943/38.666672%2C44.849309?m=37.327999%2C44.889667%2F10.62
Тайм Строй,+79891290035,"WhatsApp, Telegram",https://2gis.ru/krasnodar/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/24/firm/70000001033895872?m=38.666672%2C44.849309%2F10.62
Bsd-stroy,+79130071307,WhatsApp,https://2gis.ru/anapa/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/25/firm/70000001047059920?m=38.666672%2C44.849309%2F10.62
Кристалл,+79298452257,WhatsApp,https://2gis.ru/gelendzhik/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/25/firm/70000001006972297/38.093512%2C44.570058?m=38.666672%2C44.849309%2F10.62
СтройПерспектива,+79284324399,,https://2gis.ru/tihoreck/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/25/firm/70000001039339581/40.130923%2C45.825674?m=38.093512%2C44.570058%2F10.62
Горизонт,+79388686009,"WhatsApp, Telegram",https://2gis.ru/anapa/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/25/firm/70000001021305215/37.325583%2C44.877445?m=40.130923%2C45.825674%2F10.62
Фирма по ремонту квартир,+79184012464,WhatsApp,https://2gis.ru/anapa/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/25/firm/70000001021305215/37.325583%2C44.877445?m=37.325583%2C44.877445%2F10.62
Ремонт Новороссийск,+79886662303,,https://2gis.ru/novorossiysk/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/25/firm/70000001028994272/37.743177%2C44.728877?m=37.325583%2C44.877445%2F10.62
Компания по услугам демонтажа,+79608038015,"WhatsApp, Telegram",https://2gis.ru/krasnodar/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/25/firm/70000001103796139/39.01673%2C45.089691?m=37.743177%2C44.728877%2F10.62
ТСИ,+78612668245,,https://2gis.ru/krasnodar/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/25/firm/70000001019962904/39.108078%2C45.002773?m=39.01673%2C45.089691%2F10.62
Комфорт,+79184684614,WhatsApp,https://2gis.ru/novorossiysk/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/25/firm/70000001032611650/37.767755%2C44.700868?m=39.01673%2C45.089691%2F10.62
Фаворит Строй,+79884724763,"YouTube, WhatsApp",https://2gis.ru/krasnodar/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/25/firm/70000001025724163/39.0115%2C45.116395?m=37.767755%2C44.700868%2F10.62
Лев,+79529754975,,https://2gis.ru/krasnodar/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/26/firm/70000001029650087?m=39.0115%2C45.116395%2F10.62
